nazwisko męża,imię mąż,wołacz mąż,nazwisko żony,imię żona,wołacz żona,telefon mąż,telefon żona,Kod Pocztowy,Miejscowość,Grupa,zapraszający,zapraszający nr bazy,nr bazy,nr Almy,kiedy na Almie,nr,rok ur mąż,rok ur żona,rok ślubu,mail mąż,mail żona,kościół mąż,kościół żona,UWAGI
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
Nowaczek,Henryk,Henryku,Kowalczyk,Janina,Janinow,41032984,5734190,88888,Białystok,A,Kowalski Bogdan Bożena,3,1,3,1997.11,19,1965,1990,2008,jan@onet.pl,ania@wp.pl,1,1,Bardzo ważne uwagi sprawdzamy jak się wyświetlają
